CODE,LABEL,CATEGORY,MENU TYPE,VOLUME,PRICE, NET PRICE 
1,אוזו 7,אוזו,קלאסיק,700,49, ₪ 58 
2,אוזו לוקאטוס,אוזו,קלאסיק,1000,64, ₪ 75 
3,אוזו מיני,אוזו,קלאסיק,700,59, ₪ 70 
4,אוזו פלומרי,אוזו,קלאסיק,1000,84, ₪ 99 
5,אולמקה גולד,טקילה,קלאסיק,700,97, ₪ 115 
6,אולמקה סילבר,טקילה,קלאסיק,700,89, ₪ 105 
7,אמיסריו גולד,טקילה,קלאסיק,1000,66, ₪ 78 
8,אמיסריו סילבר,טקילה,קלאסיק,1000,66, ₪ 78 
9,אפטרוורק,ג'ין,קלאסיק,700,58, ₪ 69 
10,אפרול ליטר,אפרול,קלאסיק,1000,57, ₪ 67 
11,בומביי 700,ג'ין,פרימיום,700,92, ₪ 109 
12,בומביי ליטר,ג'ין,פרימיום,1000,110, ₪ 130 
13,בושמילס,וויסקי,קלאסיק,1000,97, ₪ 115 
14,ביפיאטר,ג'ין,קלאסיק,700,72, ₪ 85 
15,בירה מגש,בירה,קלאסיק,12000,0, ₪ -   
16,בלאק לייבל,וויסקי,פרימיום,1000,126, ₪ 149 
17,בלוגה,וודקה,פרימיום,1000,125, ₪ 148 
18,בלוודר,וודקה,פרימיום,1000,109, ₪ 129 
19,בקרדי ליטר,רום,פרימיום,1000,85, ₪ 100 
20,ברנדי 84,ליקר,קלאסיק,700,58, ₪ 69 
21,ג'יימסון,וויסקי,קלאסיק,1000,102, ₪ 120 
22,ג'ים בים,וויסקי,קלאסיק,1000,108, ₪ 127 
23,ג'ק דניאלס,וויסקי,פרימיום,1000,118, ₪ 139 
24,ג'ק דניאלס דבש,וויסקי,פרימיום,700,119, ₪ 140 
25,גורדונס 700,ג'ין,קלאסיק,700,56, ₪ 66 
26,גורדונס ליטר,ג'ין,קלאסיק,1000,79, ₪ 93 
27,גיבסונס,ג'ין,קלאסיק,1000,68, ₪ 80 
28,גיבסונס 700,ג'ין,קלאסיק,700,51, ₪ 60 
29,גלנליווט פאונדרס,וויסקי,פרימיום,700,135, ₪ 159 
30,גלנפידיך 12,וויסקי,פרימיום,700,134, ₪ 158 
31,גראנטס,וויסקי,קלאסיק,1000,75, ₪ 88.50 
32,גרייגוס ,וודקה,פרימיום,1000,121, ₪ 143 
33,דיוארס,וויסקי,קלאסיק,1000,72, ₪ 85 
34,דיסרונו,ליקר,קלאסיק,700,64, ₪ 76 
35,היין VSOP,וויסקי,פרימיום,700,169, ₪ 200 
36,וואן גוך 700,וודקה טעמים,פרימיום,700,98, ₪ 116 
37,וואן גוך ליטר,וודקה טעמים,פרימיום,1000,114, ₪ 135 
38,ווילד טרקי,וויסקי,קלאסיק,700,95, ₪ 112 
39,טנקרי,ג'ין,פרימיום,1000,123, ₪ 145 
40,ייגרמייסטר,ליקר,קלאסיק,1000,89, ₪ 105 
41,יין אדום,יין אדום,קלאסיק,750,24, ₪ 28 
42,יין אדום ויתקין,יין אדום,פרימיום,750,47, ₪ 56 
43,יין לבן,יין לבן,קלאסיק,750,24, ₪ 28 
44,יין לבן ויתקין,יין לבן,פרימיום,750,47, ₪ 56 
45,יין רוזה ויתקין,יין רוזה,פרימיום,750,47, ₪ 56 
46,ליקר טריפל סק בנימינה,ליקר,קלאסיק,700,42, ₪ 50 
47,ליקר קסיס בנימינה,ליקר,קלאסיק,700,42, ₪ 50 
48,מאנקי 47,ג'ין,פרימיום,500,0, ₪ -   
49,מאנקי שולדרס,וויסקי,פרימיום,700,102, ₪ 120 
50,מון בלאן,וודקה,פרימיום,1000,102, ₪ 120 
51,מקאלן 12,וויסקי,פרימיום,700,284, ₪ 335 
52,מרטיני ביאנקו,וורמוט,קלאסיק,1000,47, ₪ 55 
53,מרטיני יבש,וורמוט,קלאסיק,1000,47, ₪ 55 
54,מרטיני רוסו,וורמוט,קלאסיק,1000,47, ₪ 55 
55,נגריטה ליטר,רום,קלאסיק,1000,87, ₪ 103 
56,סן בנדטו 12 יח,מים,קלאסיק,1000,64, ₪ 76 
57,סן פלגרינו 12 יח,סודה,קלאסיק,750,92, ₪ 108 
58,סקיי,וודקה,קלאסיק,1000,55, ₪ 65 
59,ערק אשקלון,ערק ,קלאסיק,700,51, ₪ 60 
60,ערק עלית,ערק ,קלאסיק,700,48, ₪ 57 
61,פטרון סילבר,טקילה,פרימיום,1000,140, ₪ 165 
62,פינלנדיה,וודקה,קלאסיק,1000,74, ₪ 87 
63,פסקס,רום,קלאסיק,1000,64, ₪ 75 
64,קאווה,יין מבעבע,קלאסיק,700,22, ₪ 26 
65,קוארבו גולד,טקילה,קלאסיק,1000,105, ₪ 124 
66,קוארבו סילבר,טקילה,קלאסיק,1000,105, ₪ 124 
67,קמפרי,קמפרי,קלאסיק,1000,72, ₪ 85 
68,קנוקה,רום,קלאסיק,1000,65, ₪ 76 
69,קפטן מורגן ספייס,רום,קלאסיק,700,0, ₪ -   
70,קריביקה,רום,קלאסיק,700,44, ₪ 52 
71,רד לייבל,וויסקי,קלאסיק,1000,0, ₪ -   
72,שנאפס,ליקר,קלאסיק,700,42, ₪ 50 
73,יין רוזה,יין רוזה,קלאסיק,750,24, ₪ 28 
